2026-06-26 21:12:07,544 [INFO] ============================================================
2026-06-26 21:12:07,545 [INFO] Path B — ZINC FDA → ML Screen → Top 500 for Docking
2026-06-26 21:12:07,545 [INFO] ============================================================
2026-06-26 21:12:07,545 [INFO] 
[Phase 1] Downloading ZINC FDA library...
2026-06-26 21:12:07,546 [INFO] Fetching ZINC FDA-approved library...
2026-06-26 21:12:09,264 [WARNING] Could not get count (HTTP 403), assuming ~1600
2026-06-26 21:12:10,370 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:13,717 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:17,223 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:20,697 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:23,803 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:27,280 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:30,406 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:33,619 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:36,835 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:40,225 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:43,552 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:47,723 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:50,915 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:54,354 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:12:57,661 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:00,861 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:04,136 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:07,348 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:10,506 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:13,648 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:16,818 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:19,973 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:23,282 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:27,084 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:31,036 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:35,062 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:39,556 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:43,453 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:47,737 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:51,695 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:55,940 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:13:59,912 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:14:03,808 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:14:07,755 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:14:11,655 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:14:15,567 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:14:19,725 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:14:23,890 [WARNING] Page 0: HTTP 403, retrying...
2026-06-26 21:14:27,880 [WARNING] Page 0: HTTP 403, retrying...
