"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-196780","Biotin transport and metabolism","6/13","11/11287",0.545454545454545,473.58041958042,53.2472540742048,2.75703616584716e-16,4.7531303499205e-13,4.7531303499205e-13,"32/8884/686/3141/51248/31",6
"R-HSA-196849","Metabolism of water-soluble vitamins and cofactors","9/13","125/11287",0.072,62.5126153846154,23.4828537840611,1.28975552580603e-15,1.11176926324479e-12,1.11176926324479e-12,"32/8884/10560/9963/2194/686/3141/51248/31",9
"R-HSA-196854","Metabolism of vitamins and cofactors","9/13","198/11287",0.0454545454545455,39.465034965035,18.5419420244485,8.82991741866395e-14,5.07425920992555e-11,5.07425920992555e-11,"32/8884/10560/9963/2194/686/3141/51248/31",9
"R-HSA-425407","SLC-mediated transmembrane transport","6/13","244/11287",0.0245901639344262,21.3499369482976,10.9123209017212,1.45089103166219e-07,6.25334034646404e-05,6.25334034646404e-05,"8884/60482/51248/5172/6526/116085",6
"R-HSA-199220","Vitamin B5 (pantothenate) metabolism","3/13","20/11287",0.15,130.234615384615,19.6423022343986,1.34552618788949e-06,0.000463937429584295,0.000463937429584295,"8884/2194/51248",3
"R-HSA-3296482","Defects in vitamin and cofactor metabolism","3/13","22/11287",0.136363636363636,118.395104895105,18.7153698707401,1.81522410660931e-06,0.000521574393299075,0.000521574393299075,"686/3141/31",3
"R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","3/13","42/11287",0.0714285714285714,62.0164835164835,13.4522451782953,1.33527897277929e-05,0.00328860135581642,0.00328860135581642,"32/2194/31",3
"R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","3/13","55/11287",0.0545454545454545,47.358041958042,11.7025516193192,3.02519209637524e-05,0.00651928896768863,0.00651928896768863,"32/2194/31",3
"R-HSA-200425","Carnitine shuttle","2/13","14/11287",0.142857142857143,124.032967032967,15.6411415264505,0.000110575773305769,0.0211814036865717,0.0211814036865717,"32/31",2
"R-HSA-5619102","SLC transporter disorders","3/13","97/11287",0.0309278350515464,26.8524980174465,8.68312436389293,0.000165324269586802,0.0285019040767647,0.0285019040767647,"60482/5172/116085",3
"R-HSA-163685","Integration of energy metabolism","3/13","108/11287",0.0277777777777778,24.1175213675214,8.19698898078466,0.000227247433984877,0.0356158705627207,0.0356158705627207,"32/2194/31",3
"R-HSA-425397","Transport of vitamins, nucleosides, and related molecules","2/13","31/11287",0.0645161290322581,56.014888337469,10.4152985757985,0.000558822311231151,0.080284138713542,0.080284138713542,"8884/51248",2
"R-HSA-8957322","Metabolism of steroids","3/13","154/11287",0.0194805194805195,16.9135864135864,6.75188453166012,0.000644339890439019,0.0854493823936053,0.0854493823936053,"32/2194/31",3
"R-HSA-5619115","Disorders of transmembrane transporters","3/13","162/11287",0.0185185185185185,16.0783475783476,6.56392985805386,0.000746794279445065,0.090618775156071,0.090618775156071,"60482/5172/116085",3
"R-HSA-75105","Fatty acyl-CoA biosynthesis","2/13","37/11287",0.0540540540540541,46.9313929313929,9.50247861411929,0.000797263664115096,0.090618775156071,0.090618775156071,"2194/31",2
"R-HSA-9955298","SLC-mediated transport of organic anions","2/13","38/11287",0.0526315789473684,45.6963562753036,9.37151153189591,0.000841009514209476,0.090618775156071,0.090618775156071,"60482/116085",2
"R-HSA-8978868","Fatty acid metabolism","3/13","175/11287",0.0171428571428571,14.883956043956,6.28548539937507,0.000934552899853852,0.0947746587851788,0.0947746587851788,"32/2194/31",3
