name,best_affinity,source
2-(2-benzylphenyl)-2-oxoacetamide,-11.67,glutarimide
2-(2-phenylacetyl)benzamide,-9.62,glutarimide
"3-(3,5-dimethylphenyl)-3-(trifluoromethyl)pyrrolid",-9.531,glutarimide
"3-benzyl-3-chloropiperidine-2,6-dione",-9.364,pathc_v2
"2-[4-(2,6-dioxopiperidin-3-yl)-2-fluorophenyl]acet",-9.357,glutarimide
"16-azatetracyclo[7.7.1.02,7.013,17]heptadeca-1(17)",-9.356,glutarimide
2-chloro-2-phenyl-N-(2-phenylethyl)acetamide,-9.275,glutarimide
"5-cyclohex-2-en-1-yl-1,5-dimethyl-1,3-diazina",-9.092,pathc_v2
"(1R,5S)-1-[3-fluoro-5-(trifluoromethyl)phenyl]-3-a",-9.091,glutarimide
"anthracene-1,4,9,10-tetrone",-9.077,glutarimide
"2-(2-hydroxyethylamino)-3-methylnaphthalene-1,4-di",-8.966,glutarimide
"3-[4-(1,1-difluoroprop-2-enyl)phenyl]pyrrole-2,5-d",-8.956,glutarimide
"5-amino-2-cyclohexylisoindole-1,3-dione",-8.951,glutarimide
"(1S,5R)-1-[3-fluoro-5-(trifluoromethyl)phenyl]-3-a",-8.94,glutarimide
"4,5,6,7-tetrafluoro-2-[(3S)-3-methyl-2,6-dioxopipe",-8.921,glutarimide
"(5S,6R)-3,5-difluoro-6-methyl-6-phenylpiperidin-2-",-8.882,glutarimide
"4-(4-fluoro-3-methylphenyl)piperidine-2,6-dione",-8.87,glutarimide
2-(4-fluorophenyl)-N-[2-(4-fluorophenyl)ethyl]acet,-8.855,glutarimide
"3-(7-ethyl-3-oxo-1H-isoindol-2-yl)piperidine-2,6-d",-8.837,glutarimide
"1,3-dimethyl-5-(2-phenylethyl)-1,3-diazinane-",-8.825,pathc_v2
"3-(3-oxo-1H-isoindol-2-yl)piperidine-2,6-dione",-8.814,glutarimide
"4-phenyl-4-(trifluoromethyl)piperidine-2,6-di",-8.795,pathc_v2
2-[3-(trifluoromethyl)phenyl]acetamide,-8.775,glutarimide
"2,2,3,3,4,4,5,5,6,6,6-undecafluoro-N-(2-phenylethy",-8.775,glutarimide
"5-(2-hydroxypropyl)-5-phenyl-1,3-diazinane-2,",-8.758,pathc_v2
3-[[3-(trifluoromethyl)phenyl]methyl]piperidi,-8.744,pathc_v2
"9-methyl-2,4-diazaspiro[5.5]undec-9-ene-1,3,5",-8.74,pathc_v2
6-ethyl-6-phenylpiperidin-2-one,-8.738,pathc_v2
2-(1-methylpiperidin-4-yl)-3-oxo-1H-isoindole-4-ca,-8.719,glutarimide
"3,5-dimethylidene-4-phenylpiperidine-2,6-dione",-8.701,glutarimide
