name,best_affinity,all_affinities
NAFTAZONE,-8.339,"[-8.339, -7.435, -6.508, -5.902, -3.601, 0.0, 1.0, 10.0, 16.0]"
PHENOBARBITAL,-8.299,"[-8.299, -7.866, -7.728, -7.423, -7.419, 0.0, 1.0, 10.0, 16.0]"
CYCLOBARBITAL,-7.826,"[-7.826, -6.985, -6.96, -6.878, -6.556, 0.0, 1.0, 10.0, 16.0]"
BUTALBITAL,-7.728,"[-7.728, -7.178, -6.986, -6.974, -6.891, 0.0, 1.0, 10.0, 16.0]"
APROBARBITAL,-7.675,"[-7.675, -7.5, -7.406, -7.224, -7.185, 0.0, 1.0, 10.0, 16.0]"
BUTABARBITAL,-7.667,"[-7.667, -7.329, -7.156, -6.949, -6.674, 0.0, 1.0, 10.0, 16.0]"
TASIMELTEON,-7.661,"[-7.661, -6.62, -6.451, -6.417, -6.329, 0.0, 1.0, 10.0, 16.0]"
PRIMIDONE,-7.63,"[-7.63, -7.153, -6.965, -6.47, -6.431, 0.0, 1.0, 10.0, 16.0]"
GLUTETHIMIDE,-7.611,"[-7.611, -6.443, -6.348, -6.339, -6.112, 0.0, 1.0, 10.0, 16.0]"
HYDROFLUMETHIAZIDE,-7.589,"[-7.589, -5.166, -4.856, -4.761, -4.547, 0.0, 1.0, 10.0, 16.0]"
AMOBARBITAL,-7.583,"[-7.583, -7.267, -7.153, -6.977, -6.906, 0.0, 1.0, 10.0, 16.0]"
ESKETAMINE,-7.58,"[-7.58, -7.157, -7.096, -6.83, -6.797, 0.0, 1.0, 10.0, 16.0]"
MEPHOBARBITAL,-7.564,"[-7.564, -7.007, -7.005, -6.982, -6.807, 0.0, 1.0, 10.0, 16.0]"
PENTOBARBITAL,-7.488,"[-7.488, -7.381, -7.084, -6.948, -6.732, 0.0, 1.0, 10.0, 16.0]"
TETRAHYDROZOLINE,-7.468,"[-7.468, -6.664, -6.599, -6.266, -6.03, 0.0, 1.0, 10.0, 16.0]"
MEPHENYTOIN,-7.395,"[-7.395, -6.952, -6.923, -6.786, -6.419, 0.0, 1.0, 10.0, 16.0]"
DEBRISOQUIN,-7.385,"[-7.385, -6.689, -6.255, -6.243, -5.885, 0.0, 1.0, 10.0, 16.0]"
DEXRAZOXANE,-7.378,"[-7.378, -7.307, -6.794, -6.73, -6.248, 0.0, 1.0, 10.0, 16.0]"
CENOBAMATE,-7.368,"[-7.368, -7.172, -6.862, -6.843, -6.57, 0.0, 1.0, 10.0, 16.0]"
METYRAPONE,-7.358,"[-7.358, -6.717, -6.542, -6.5, -6.17, 0.0, 1.0, 10.0, 16.0]"
HYDRALAZINE,-7.344,"[-7.344, -6.862, -6.447, -6.396, -6.337, 0.0, 1.0, 10.0, 16.0]"
PHENACEMIDE,-7.292,"[-7.292, -7.261, -7.053, -6.976, -6.469, 0.0, 1.0, 10.0, 16.0]"
SECOBARBITAL,-7.243,"[-7.243, -6.939, -6.681, -6.633, -6.567, 0.0, 1.0, 10.0, 16.0]"
DICLOFENAC,-7.232,"[-7.232, -7.025, -5.642, -5.441, 0.0, 1.0, 10.0, 16.0]"
CICLOPIROX,-7.213,"[-7.213, -5.764, -5.521, -5.428, -5.143, 0.0, 1.0, 10.0, 16.0]"
RUFINAMIDE,-7.2,"[-7.2, -7.118, -6.394, -6.378, -5.92, 0.0, 1.0, 10.0, 16.0]"
METHSUXIMIDE,-7.191,"[-7.191, -6.84, -6.754, -6.607, -6.59, 0.0, 1.0, 10.0, 16.0]"
PEMOLINE,-7.13,"[-7.13, -7.032, -6.976, -6.838, -6.664, 0.0, 1.0, 10.0, 16.0]"
LAMOTRIGINE,-7.106,"[-7.106, -6.44, -6.041, -4.72, -3.862, 0.0, 1.0, 10.0, 16.0]"
TIPIRACIL,-7.078,"[-7.078, -6.862, -6.561, -6.526, -6.46, 0.0, 1.0, 10.0, 16.0]"
BELINOSTAT,-7.063,"[-7.063, -4.169, -3.809, -2.984, 0.0, 1.0, 10.0, 16.0, 92.35]"
BARBITAL,-7.045,"[-7.045, -6.993, -6.955, -6.722, -6.293, 0.0, 1.0, 10.0, 16.0]"
PROXIBARBAL,-7.035,"[-7.035, -6.857, -6.648, -6.459, -6.4, 0.0, 1.0, 10.0, 16.0]"
IBUDILAST,-7.025,"[-7.025, -6.676, -6.403, -6.332, -6.143, 0.0, 1.0, 10.0, 16.0]"
AMINOGLUTETHIMIDE,-7.011,"[-7.011, -5.927, -5.442, -5.03, -4.848, 0.0, 1.0, 10.0, 16.0]"
