name,best_affinity,all_affinities,status
HYDROMORPHONE,-8.577,"[-8.577, -7.614, -6.222, -5.258, -5.168, 0.0, 1.0, 10.0, 16.0]",success
FUROSEMIDE,-8.358,"[-8.358, -7.646, -7.309, -7.263, -7.017, 0.0, 1.0, 10.0, 16.0]",
LENALIDOMIDE,-8.247,"[-8.247, -7.593, -5.651, -5.627, -5.503, 0.0, 1.0, 10.0, 16.0]",
BUFEXAMAC,-8.063,"[-8.063, -7.976, -7.739, -7.528, -7.427, 0.0, 1.0, 10.0, 16.0]",
OXYMORPHONE,-8.045,"[-8.045, -4.977, -4.279, -4.2, -4.098, 0.0, 1.0, 10.0, 16.0]",success
TOLOXATONE,-8.017,"[-8.017, -7.562, -7.535, -7.533, -4.979, 0.0, 1.0, 10.0, 16.0]",
AVIBACTAM,-7.949,"[-7.949, -7.259, -7.206, -7.006, -6.81, 0.0, 1.0, 10.0, 16.0]",
FROVATRIPTAN,-7.82,"[-7.82, -5.291, -4.274, -4.164, -2.796, 0.0, 1.0, 10.0, 16.0]",
CANTHARIDIN,-7.814,"[-7.814, -7.433, -7.397, -7.379, -7.237, 0.0, 1.0, 10.0, 16.0]",success
CARPROFEN,-7.726,"[-7.726, -6.969, -6.534, -6.05, -5.988, 0.0, 1.0, 10.0, 16.0]",
BACLOFEN,-7.713,"[-7.713, -7.377, -7.276, -7.12, -6.62, 0.0, 1.0, 10.0, 16.0]",
CYCLANDELATE,-7.623,"[-7.623, -6.945, -6.616, -6.407, -6.143, 0.0, 1.0, 10.0, 16.0]",
PROCARBAZINE,-7.616,"[-7.616, -5.427, -5.393, -5.297, -4.991, 0.0, 1.0, 10.0, 16.0]",
SULBACTAM,-7.601,"[-7.601, -7.567, -6.653, -6.648, -6.314, 0.0, 1.0, 10.0, 16.0]",
TALBUTAL,-7.551,"[-7.551, -7.004, -6.811, -6.774, -6.539, 0.0, 1.0, 10.0, 16.0]",
ALCLOFENAC,-7.55,"[-7.55, -7.433, -6.783, -6.727, -6.481, 0.0, 1.0, 10.0, 16.0]",
