name,best_affinity,all_affinities
2-(2-benzylphenyl)-2-oxoacetamide,-11.67,"[-11.67, -11.3, -10.9, -10.01, -9.476, 0.0, 1.0, 10.0, 16.0]"
2-(2-phenylacetyl)benzamide,-9.62,"[-9.62, -9.57, -9.091, -9.064, -9.049, 0.0, 1.0, 10.0, 16.0]"
"3-(3,5-dimethylphenyl)-3-(trifluoromethyl)pyrrolid",-9.531,"[-9.531, -8.094, -7.065, -6.808, -6.545, 0.0, 1.0, 10.0, 16.0]"
"2-[4-(2,6-dioxopiperidin-3-yl)-2-fluorophenyl]acet",-9.357,"[-9.357, -8.054, -7.961, -6.924, -6.467, 0.0, 1.0, 10.0, 16.0]"
"16-azatetracyclo[7.7.1.02,7.013,17]heptadeca-1(17)",-9.356,"[-9.356, -9.12, -8.264, -8.191, -8.108, 0.0, 1.0, 10.0, 16.0]"
2-chloro-2-phenyl-N-(2-phenylethyl)acetamide,-9.275,"[-9.275, -9.084, -7.83, -7.553, -7.318, 0.0, 1.0, 10.0, 16.0]"
"(1R,5S)-1-[3-fluoro-5-(trifluoromethyl)phenyl]-3-a",-9.091,"[-9.091, -8.259, -7.951, -7.79, -7.467, 0.0, 1.0, 10.0, 16.0]"
"anthracene-1,4,9,10-tetrone",-9.077,"[-9.077, -8.608, -8.603, -8.32, 0.0, 1.0, 10.0, 16.0]"
"2-(2-hydroxyethylamino)-3-methylnaphthalene-1,4-di",-8.966,"[-8.966, -7.884, -5.966, -5.245, -4.498, 0.0, 1.0, 10.0, 16.0]"
"3-[4-(1,1-difluoroprop-2-enyl)phenyl]pyrrole-2,5-d",-8.956,"[-8.956, -8.205, -7.956, -5.609, -2.843, 0.0, 1.0, 10.0, 16.0]"
"5-amino-2-cyclohexylisoindole-1,3-dione",-8.951,"[-8.951, -7.792, -7.362, -7.357, -7.173, 0.0, 1.0, 10.0, 16.0]"
"(1S,5R)-1-[3-fluoro-5-(trifluoromethyl)phenyl]-3-a",-8.94,"[-8.94, -8.802, -8.645, -8.189, -7.82, 0.0, 1.0, 10.0, 16.0]"
"4,5,6,7-tetrafluoro-2-[(3S)-3-methyl-2,6-dioxopipe",-8.921,"[-8.921, -8.447, -7.859, -7.787, -7.627, 0.0, 1.0, 10.0, 16.0]"
"(5S,6R)-3,5-difluoro-6-methyl-6-phenylpiperidin-2-",-8.882,"[-8.882, -8.175, -7.355, -6.008, -5.991, 0.0, 1.0, 10.0, 16.0]"
"4-(4-fluoro-3-methylphenyl)piperidine-2,6-dione",-8.87,"[-8.87, -8.477, -8.289, -8.146, -7.69, 0.0, 1.0, 10.0, 16.0]"
2-(4-fluorophenyl)-N-[2-(4-fluorophenyl)ethyl]acet,-8.855,"[-8.855, -8.829, -8.427, -8.395, -8.323, 0.0, 1.0, 10.0, 16.0]"
"3-(7-ethyl-3-oxo-1H-isoindol-2-yl)piperidine-2,6-d",-8.837,"[-8.837, -8.023, -6.599, -6.168, -6.087, 0.0, 1.0, 10.0, 16.0]"
"3-(3-oxo-1H-isoindol-2-yl)piperidine-2,6-dione",-8.814,"[-8.814, -7.085, -7.08, -6.677, -6.323, 0.0, 1.0, 10.0, 16.0]"
2-[3-(trifluoromethyl)phenyl]acetamide,-8.775,"[-8.775, -8.225, -8.14, -8.123, -7.909, 0.0, 1.0, 10.0, 16.0]"
"2,2,3,3,4,4,5,5,6,6,6-undecafluoro-N-(2-phenylethy",-8.775,"[-8.775, -8.443, -8.406, -8.054, -8.028, 0.0, 1.0, 10.0, 16.0]"
2-(1-methylpiperidin-4-yl)-3-oxo-1H-isoindole-4-ca,-8.719,"[-8.719, -7.481, -7.409, 0.0, 1.0, 10.0, 16.0]"
"3,5-dimethylidene-4-phenylpiperidine-2,6-dione",-8.701,"[-8.701, -7.597, -7.384, -6.843, -6.463, 0.0, 1.0, 10.0, 16.0]"
