name,best_affinity,all_affinities
"3-benzyl-3-chloropiperidine-2,6-dione",-9.364,"[-9.364, -7.997, -7.954, -7.205, -6.906, 0.0, 1.0, 10.0, 16.0]"
"5-cyclohex-2-en-1-yl-1,5-dimethyl-1,3-diazina",-9.092,"[-9.092, -7.879, -7.262, -7.176, -7.126, 0.0, 1.0, 10.0, 16.0]"
"1,3-dimethyl-5-(2-phenylethyl)-1,3-diazinane-",-8.825,"[-8.825, -7.328, -7.079, -7.06, -6.83, 0.0, 1.0, 10.0, 16.0]"
"4-phenyl-4-(trifluoromethyl)piperidine-2,6-di",-8.795,"[-8.795, -8.598, -8.468, -8.439, -8.174, 0.0, 1.0, 10.0, 16.0]"
"5-(2-hydroxypropyl)-5-phenyl-1,3-diazinane-2,",-8.758,"[-8.758, -6.939, -4.828, -4.659, -4.444, 0.0, 1.0, 10.0, 16.0]"
3-[[3-(trifluoromethyl)phenyl]methyl]piperidi,-8.744,"[-8.744, -8.51, -7.398, -6.773, -6.618, 0.0, 1.0, 10.0, 16.0]"
"9-methyl-2,4-diazaspiro[5.5]undec-9-ene-1,3,5",-8.74,"[-8.74, -8.247, -8.153, -7.806, -7.503, 0.0, 1.0, 10.0, 16.0]"
6-ethyl-6-phenylpiperidin-2-one,-8.738,"[-8.738, -7.96, -7.23, -6.885, -6.746, 0.0, 1.0, 10.0, 16.0]"
"5-benzoyl-1,3-diazinane-2,4,6-trione",-8.7,"[-8.7, -8.175, -7.097, -6.291, -6.226, 0.0, 1.0, 10.0, 16.0]"
"5-cyclohexa-1,3-dien-1-yl-5-methyl-1,3-diazin",-8.669,"[-8.669, -8.49, -8.473, -8.251, -7.645, 0.0, 1.0, 10.0, 16.0]"
"3-(4-fluorophenyl)-3-methylpyrrolidine-2,5-di",-8.644,"[-8.644, -7.199, -7.051, -6.534, -6.437, 0.0, 1.0, 10.0, 16.0]"
"3-[(4-fluorophenyl)methyl]piperidine-2,6-dion",-8.629,"[-8.629, -8.58, -7.634, -7.426, -7.286, 0.0, 1.0, 10.0, 16.0]"
"8-ethenyl-10-methyl-2,4-diazaspiro[5.5]undec-",-8.627,"[-8.627, -6.138, -6.0, -5.987, -5.913, 0.0, 1.0, 10.0, 16.0]"
"4,4-dimethyl-5-phenylpiperidin-2-one",-8.625,"[-8.625, -7.953, -6.746, -6.62, -6.395, 0.0, 1.0, 10.0, 16.0]"
"8-ethenyl-10-methyl-2,4-diazaspiro[5.5]undec-",-8.615,"[-8.615, -6.098, -6.091, -5.998, -5.996, 0.0, 1.0, 10.0, 16.0]"
"7a-phenyl-3aH-isoindole-1,3-dione",-8.611,"[-8.611, -8.331, -8.135, -7.553, -7.38, 0.0, 1.0, 10.0, 16.0]"
3-[[4-(trifluoromethyl)phenyl]methyl]piperidi,-8.598,"[-8.598, -8.345, -7.76, -7.464, -6.981, 0.0, 1.0, 10.0, 16.0]"
"1,5-dimethyl-5-phenyl-1,3-diazinane-2,4,6-tri",-8.594,"[-8.594, -7.523, -7.472, -7.339, -7.215, 0.0, 1.0, 10.0, 16.0]"
N-acetyl-2-[2-(trifluoromethyl)phenyl]acetami,-8.555,"[-8.555, -8.369, -8.131, -8.054, -7.81, 0.0, 1.0, 10.0, 16.0]"
"5-propan-2-yl-5-prop-2-ynyl-1,3-diazinane-2,4",-8.507,"[-8.507, -8.048, -7.967, -7.845, -7.807, 0.0, 1.0, 10.0, 16.0]"
"3-[(3-fluorophenyl)methyl]piperidine-2,6-dion",-8.499,"[-8.499, -8.458, -7.941, -7.643, -7.249, 0.0, 1.0, 10.0, 16.0]"
"(5R)-5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-dia",-8.461,"[-8.461, -7.13, -6.955, -6.889, -6.349, 0.0, 1.0, 10.0, 16.0]"
"5-(4-chlorophenyl)-5-prop-2-enyl-1,3-diazinan",-8.45,"[-8.45, -6.255, -5.532, -5.416, -4.315, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(2-methylbutan-2-yl)-1,3-diazinane-",-8.449,"[-8.449, -7.549, -6.927, -6.871, -6.821, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-diazinan",-8.418,"[-8.418, -7.008, -6.704, -5.2, -5.16, 0.0, 1.0, 10.0, 16.0]"
"(5S)-1-methyl-5-phenyl-5-propyl-1,3-diazinane",-8.417,"[-8.417, -6.685, -6.577, -6.303, -5.939, 0.0, 1.0, 10.0, 16.0]"
"3-ethyl-3-phenylazetidine-2,4-dione",-8.412,"[-8.412, -7.845, -7.466, -7.369, -7.011, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-1,5-dimethyl-3-oxido-1,3-",-8.408,"[-8.408, -6.994, -6.703, -5.182, -5.141, 0.0, 1.0, 10.0, 16.0]"
"8-(cyclohex-3-en-1-ylmethyl)-6,8-diazaspiro[3",-8.345,"[-8.345, -7.147, -6.525, -6.219, -5.686, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-diazinan",-8.335,"[-8.335, -6.964, -6.659, -5.978, -5.133, 0.0, 1.0, 10.0, 16.0]"
"1-benzyl-5-ethyl-5-phenyl-1,3-diazinane-2,4,6",-8.335,"[-8.335, -7.541, -6.911, -6.639, -5.141, 0.0, 1.0, 10.0, 16.0]"
"2,4-diazaspiro[5.5]undec-9-ene-1,3,5-trione",-8.331,"[-8.331, -7.695, -7.628, -7.084, 0.0, 1.0, 10.0, 16.0]"
"1-(2-phenylacetyl)piperidine-2,6-dione",-8.326,"[-8.326, -7.302, -7.262, -7.018, -6.847, 0.0, 1.0, 10.0, 16.0]"
"(11S)-11-methyl-2,4-diazaspiro[5.5]undec-8-en",-8.325,"[-8.325, -6.726, -6.561, -6.316, -6.225, 0.0, 1.0, 10.0, 16.0]"
"3-phenylpiperidine-2,6-dione",-8.323,"[-8.323, -7.834, -7.58, -7.236, -7.085, 0.0, 1.0, 10.0, 16.0]"
"5-cyclohexa-1,3-dien-1-yl-5-ethyl-1,3-diazina",-8.317,"[-8.317, -8.159, -8.051, -7.626, -7.511, 0.0, 1.0, 10.0, 16.0]"
"(11S)-11-methyl-2,4-diazaspiro[5.5]undec-9-en",-8.307,"[-8.307, -6.733, -6.582, -6.321, -6.231, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-[(E)-hex-3-en-3-yl]-1,3-diazinane-2",-8.297,"[-8.297, -7.956, -7.929, -7.604, -7.32, 0.0, 1.0, 10.0, 16.0]"
"(11R)-11-methyl-2,4-diazaspiro[5.5]undec-8-en",-8.294,"[-8.294, -6.755, -6.641, -6.398, -6.244, 0.0, 1.0, 10.0, 16.0]"
"(5S)-5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-dia",-8.281,"[-8.281, -7.852, -7.744, -7.593, -7.25, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(2,2,2-trifluoroethyl)-1,3-diazinan",-8.279,"[-8.279, -7.783, -7.721, -7.709, -7.633, 0.0, 1.0, 10.0, 16.0]"
"5-[(2-fluorophenyl)methyl]-1,3-diazinane-2,4,",-8.272,"[-8.272, -7.734, -7.005, -6.85, -5.267, 0.0, 1.0, 10.0, 16.0]"
