name,best_affinity,all_affinities
ESKETAMINE,-7.597,"[-7.597, -7.163, -7.096, -6.779, -6.776, 0.0, 1.0, 10.0, 16.0]"
RAMELTEON,-7.538,"[-7.538, -6.466, -6.381, -6.351, -5.692, 0.0, 1.0, 10.0, 16.0]"
TETRAHYDROZOLINE,-7.468,"[-7.468, -6.58, -6.571, -6.112, -5.834, 0.0, 1.0, 10.0, 16.0]"
HYDRALAZINE,-7.309,"[-7.309, -6.879, -6.395, -6.322, -6.141, 0.0, 1.0, 10.0, 16.0]"
DEXRAZOXANE,-7.078,"[-7.078, -6.905, -6.591, -6.415, -6.103, 0.0, 1.0, 10.0, 16.0]"
TIPIRACIL,-7.06,"[-7.06, -6.828, -6.55, -6.523, -6.428, 0.0, 1.0, 10.0, 16.0]"
PHENMETRAZINE,-6.981,"[-6.981, -6.203, -5.941, -5.387, -5.374, 0.0, 1.0, 10.0, 16.0]"
LOFEXIDINE,-6.779,"[-6.779, -6.385, -6.037, -5.977, -5.803, 0.0, 1.0, 10.0, 16.0]"
KETAMINE,-6.724,"[-6.724, -6.323, -6.197, -5.868, -5.831, 0.0, 1.0, 10.0, 16.0]"
ETHINAMATE,-6.693,"[-6.693, -6.495, -6.437, -6.433, -6.425, 0.0, 1.0, 10.0, 16.0]"
PILOCARPINE,-6.569,"[-6.569, -6.55, -5.662, -5.648, -5.604, 0.0, 1.0, 10.0, 16.0]"
NAPHAZOLINE,-6.557,"[-6.557, -6.405, -5.71, -5.56, -5.183, 0.0, 1.0, 10.0, 16.0]"
DEXMEDETOMIDINE,-6.548,"[-6.548, -6.287, -5.55, -5.372, -5.335, 0.0, 1.0, 10.0, 16.0]"
MILNACIPRAN,-6.525,"[-6.525, -5.85, -5.793, -5.482, -5.084, 0.0, 1.0, 10.0, 16.0]"
PRAMIPEXOLE,-6.518,"[-6.518, -6.165, -5.461, -5.444, -5.387, 0.0, 1.0, 10.0, 16.0]"
TRANYLCYPROMINE,-6.389,"[-6.389, -5.867, -5.76, -5.56, -5.276, 0.0, 1.0, 10.0, 16.0]"
DEXMETHYLPHENIDATE,-6.36,"[-6.36, -5.89, -5.754, -5.472, -5.462, 0.0, 1.0, 10.0, 16.0]"
HEXYLCAINE,-6.337,"[-6.337, -6.023, -5.841, -5.639, -5.624, 0.0, 1.0, 10.0, 16.0]"
BENZPHETAMINE,-6.321,"[-6.321, -6.114, -5.184, -5.1, -5.0, 0.0, 1.0, 10.0, 16.0]"
