name,best_affinity,all_affinities,status
HEXOBARBITAL,-8.334,"[-8.334, -7.096, -6.939, -6.578, -6.519, 0.0, 1.0, 10.0, 16.0]",success
VARENICLINE,-7.987,"[-7.987, -7.979, -7.677, -7.24, -6.478, 0.0, 1.0, 10.0, 16.0]",success
MASOPROCOL,-7.322,"[-7.322, -6.752, -6.202, -5.842, -5.711, 0.0, 1.0, 10.0, 16.0]",success
DEXKETOPROFEN,-7.198,"[-7.198, -6.984, -6.957, -6.763, -6.387, 0.0, 1.0, 10.0, 16.0]",success
ACORAMIDIS,-7.19,"[-7.19, -6.659, -6.399, -6.339, -6.305, 0.0, 1.0, 10.0, 16.0]",success
CARTEOLOL,-7.055,"[-7.055, -5.921, -5.609, -5.441, -5.415, 0.0, 1.0, 10.0, 16.0]",success
ISOSORBIDE DINITRATE,-7.039,"[-7.039, -6.842, -6.801, -6.638, -6.165, 0.0, 1.0, 10.0, 16.0]",success
ARBUTAMINE,-6.96,"[-6.96, -6.191, -5.606, -5.538, -5.033, 0.0, 1.0, 10.0, 16.0]",success
MINODRONIC ACID,-6.93,"[-6.93, -6.678, -6.253, -5.761, -5.461, 0.0, 1.0, 10.0, 16.0]",success
ARBUTAMINE,-6.913,"[-6.913, -6.162, -5.622, -5.52, -5.106, 0.0, 1.0, 10.0, 16.0]",success
GUANETHIDINE MONOSULFATE,-6.867,"[-6.867, -6.448, -6.165, -5.736, -5.613, 0.0, 1.0, 10.0, 16.0]",success
RASAGILINE MESYLATE,-6.794,"[-6.794, -6.681, -6.637, -6.481, -6.465, 0.0, 1.0, 10.0, 16.0]",success
SULFAMETHOXYPYRIDAZINE,-6.589,"[-6.589, -5.616, -4.405, -4.06, -3.745, 0.0, 1.0, 10.0, 16.0]",success
ORNIDAZOLE,-6.419,"[-6.419, -6.403, -6.346, -6.293, -6.242, 0.0, 1.0, 10.0, 16.0]",success
MOCLOBEMIDE,-6.39,"[-6.39, -6.305, -5.858, -5.854, -5.449, 0.0, 1.0, 10.0, 16.0]",success
RANELIC ACID,-6.381,"[-6.381, -6.096, -6.0, -5.806, -5.71, 0.0, 1.0, 10.0, 16.0]",success
THEOPHYLLINE GLYCINATE,-6.309,"[-6.309, -6.284, -6.149, -6.148, -6.102, 0.0, 1.0, 10.0, 16.0]",success
PARAMETHADIONE,-6.001,"[-6.001, -5.898, -5.81, -5.61, -5.608, 0.0, 1.0, 10.0, 16.0]",success
SORIVUDINE,-5.943,"[-5.943, -5.271, -5.117, -4.976, -4.782, 0.0, 1.0, 10.0, 16.0]",success
PHENIRAMINE,-5.925,"[-5.925, -5.198, -5.171, -5.144, -4.992, 0.0, 1.0, 10.0, 16.0]",success
ZOLEDRONIC ACID,-5.892,"[-5.892, -5.747, -5.712, -5.663, -5.605, 0.0, 1.0, 10.0, 16.0]",success
PINACIDIL ANHYDROUS,-5.737,"[-5.737, -5.279, -4.139, -3.69, -3.685, 0.0, 1.0, 10.0, 16.0]",success
CYCLOPHOSPHAMIDE,-5.722,"[-5.722, -5.596, -5.555, -5.542, -5.117, 0.0, 1.0, 10.0, 16.0]",success
PROPYLIODONE,-5.697,"[-5.697, -5.651, -5.37, -5.034, -4.9, 0.0, 1.0, 10.0, 16.0]",success
TRAMADOL,-5.658,"[-5.658, -5.186, -5.011, -4.842, -4.748, 0.0, 1.0, 10.0, 16.0]",success
PIFOXIME,-5.633,"[-5.633, -5.572, -5.153, -5.035, -4.925, 0.0, 1.0, 10.0, 16.0]",success
TRIMETHADIONE,-5.613,"[-5.613, -5.334, -5.287, -5.264, -5.194, 0.0, 1.0, 10.0, 16.0]",success
NADOLOL,-5.395,"[-5.395, -3.496, -2.673, -2.606, -2.244, 0.0, 1.0, 10.0, 16.0]",success
ISAXONINE PHOSPHATE,-5.321,"[-5.321, -5.297, -5.199, -4.791, -4.751, 0.0, 1.0, 10.0, 16.0]",success
LEFLUNOMIDE,-5.205,"[-5.205, -5.024, -4.332, -2.316, 0.0, 1.0, 1.257, 10.0, 16.0]",success
PENBUTOLOL,-5.17,"[-5.17, -4.624, -4.534, -4.243, -3.472, 0.0, 1.0, 10.0, 16.0]",success
PARALDEHYDE,-5.144,"[-5.144, -5.123, -5.088, -5.067, -4.998, 0.0, 1.0, 10.0, 16.0]",success
THIOTEPA,-5.136,"[-5.136, -4.902, -4.816, -4.749, -4.664, 0.0, 1.0, 10.0, 16.0]",success
AMIFOSTINE,-5.126,"[-5.126, -5.111, -5.077, -4.909, -4.711, 0.0, 1.0, 10.0, 16.0]",success
PINACIDIL,-5.074,"[-5.074, -4.902, -3.792, -3.074, -2.726, 0.0, 1.0, 10.0, 16.0]",success
PHENYTOIN,-4.845,"[-4.845, -4.377, -3.328, -3.219, -3.069, 0.0, 1.0, 10.0, 16.0]",success
TIMOLOL,-4.614,"[-4.614, -3.873, -3.839, -3.662, -3.41, 0.0, 1.0, 10.0, 16.0]",success
