name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
BIOTIN,CHEMBL857,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,-5.997013216059565,0.7829439111274702
AZELAIC ACID,CHEMBL1238,O=C(O)CCCCCCCC(=O)O,-5.439648377716325,0.35318865224175205
TYROSINE,CHEMBL925,N[C@@H](Cc1ccc(O)cc1)C(=O)O,-5.412956124547241,0.47717323710349546
AMINOCAPROIC ACID,CHEMBL1046,NCCCCCC(=O)O,-5.410738049027797,0.35563466433114765
TRYPTOPHAN,CHEMBL54976,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,-5.405817457679149,0.6217996736105467
PHENYLBUTANOIC ACID,CHEMBL1469,O=C(O)CCCc1ccccc1,-5.276727517905936,0.3867793894550572
SOLRIAMFETOL,CHEMBL4297620,NC(=O)OC[C@H](N)Cc1ccccc1,-5.25858694720495,0.45243281633200627
PHENACEMIDE,CHEMBL918,NC(=O)NC(=O)Cc1ccccc1,-5.257928424328077,0.3734536340015901
LEVODOPA,CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-5.257172171224518,0.4348716305295081
CYSTEINE HYDROCHLORIDE,CHEMBL1200630,Cl.N[C@@H](CS)C(=O)O,-5.245594944226435,0.34412586392396044
SOLRIAMFETOL HYDROCHLORIDE,CHEMBL4297212,Cl.NC(=O)OC[C@H](N)Cc1ccccc1,-5.240940953503228,0.4571344426761384
CYSTEINE,CHEMBL863,N[C@@H](CS)C(=O)O,-5.238516157704696,0.34412586392396044
DEXTROAMPHETAMINE ADIPATE,CHEMBL1200782,C[C@H](N)Cc1ccccc1.O=C(O)CCCCC(=O)O,-5.236649295416613,0.43969319704804954
AMPHETAMINE ADIPATE,CHEMBL1200387,CC(N)Cc1ccccc1.O=C(O)CCCCC(=O)O,-5.236649295416613,0.43969319704804954
SODIUM PHENYLBUTYRATE,CHEMBL1746,O=C([O-])CCCc1ccccc1.[Na+],-5.201680577277107,0.3608965030041045
GUANFACINE,CHEMBL862,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,-5.176122672571315,0.37092353794290156
PHENELZINE,CHEMBL1089,NNCCc1ccccc1,-5.175129146612001,0.3121968756752394
GUANFACINE HYDROCHLORIDE,CHEMBL1200494,Cl.N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,-5.172547889237982,0.3732431777114115
AMINOLEVULINIC ACID HYDROCHLORIDE,CHEMBL1200582,Cl.NCC(=O)CCC(=O)O,-5.170763917924495,0.32106358283304076
FLUORODOPA,CHEMBL3547132,N[C@@H](Cc1cc(O)c(O)cc1F)C(=O)O,-5.170189419319009,0.4584412763550939
FLUORODOPA F 18,CHEMBL3400972,N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,-5.170189419319009,0.4584412763550939
PHENICARBAZIDE,CHEMBL1593719,NC(=O)NNc1ccccc1,-5.169962097460908,0.3522322483192775
SALICYLIC ACID,CHEMBL424,O=C(O)c1ccccc1O,-5.163860426505609,0.4142935648416408
ALCLOFENAC,CHEMBL94081,C=CCOc1ccc(CC(=O)O)cc1Cl,-5.163091244863498,0.44792011783606184
AMINOLEVULINIC ACID,CHEMBL601,NCC(=O)CCC(=O)O,-5.16290611737904,0.3133483280969485
DICLOFENAC,CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-5.15513012127504,0.5289747799032816
PHENFORMIN HYDROCHLORIDE,CHEMBL1528839,Cl.N=C(N)NC(=N)NCCc1ccccc1,-5.150013853757937,0.3451264761942567
PHENFORMIN,CHEMBL170988,N=C(N)NC(=N)NCCc1ccccc1,-5.146442343345016,0.33637038690891663
IOBENGUANE,CHEMBL818,N=C(N)NCc1cccc(I)c1,-5.135238590776283,0.3356477408150671
IOBENGUANE I 131,CHEMBL1615779,N=C(N)NCc1cccc([131I])c1,-5.135238590776283,0.3356477408150671
DOPAMINE,CHEMBL59,NCCc1ccc(O)c(O)c1,-5.120656556093865,0.26367012818042984
CLONIDINE,CHEMBL134,Clc1cccc(Cl)c1NC1=NCCN1,-5.113525648593875,0.3532013951818333
DICLOFENAC SODIUM,CHEMBL1034,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],-5.112695614381756,0.45734919550132563
CLONIDINE HYDROCHLORIDE,CHEMBL1705,Cl.Clc1cccc(Cl)c1NC1=NCCN1,-5.1117550652605415,0.3549801829531819
DOPAMINE HYDROCHLORIDE,CHEMBL1557,Cl.NCCc1ccc(O)c(O)c1,-5.102581198250727,0.2797401908796209
DEBRISOQUIN,CHEMBL169901,N=C(N)N1CCc2ccccc2C1,-5.091560018773286,0.301602555811764
MEFENAMIC ACID,CHEMBL686,Cc1cccc(Nc2ccccc2C(=O)O)c1C,-5.077628524489213,0.5832327604402839
VORINOSTAT,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,-5.07482569089924,0.38690454272055014
MONOBENZONE,CHEMBL1388,Oc1ccc(OCc2ccccc2)cc1,-5.0647546745518595,0.35460681435606234
BACLOFEN,CHEMBL701,NCC(CC(=O)O)c1ccc(Cl)cc1,-5.064027659732818,0.3963092156067612
GUANABENZ,CHEMBL420,N=C(N)N/N=C/c1c(Cl)cccc1Cl,-5.062630179091391,0.3247793161664398
ARMODAFINIL,CHEMBL1201192,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,-5.061682499950158,0.3920198259190591
MODAFINIL,CHEMBL1373,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,-5.061682499950158,0.3920198259190591
TOLAZOLINE,CHEMBL770,c1ccc(CC2=NCCN2)cc1,-5.060745192542511,0.3441521218615186
HYDROXYAMPHETAMINE,CHEMBL1546,CC(N)Cc1ccc(O)cc1,-5.060202973182509,0.2912084933737188
SELENIOUS ACID,CHEMBL2009089,O=[Se](O)O,-5.059641595621867,0.22247375020961357
FELBAMATE,CHEMBL1094,NC(=O)OCC(COC(N)=O)c1ccccc1,-5.057514869138697,0.37894264067480143
TOLAZOLINE HYDROCHLORIDE,CHEMBL1689,Cl.c1ccc(CC2=NCCN2)cc1,-5.052995961854123,0.3514536815908552
HYDROXYAMPHETAMINE HYDROBROMIDE,CHEMBL1200705,Br.CC(N)Cc1ccc(O)cc1,-5.051205624462584,0.2972992476822451
SUCCIMER,CHEMBL1201073,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,-5.049020445430082,0.27238511513263286
