name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
BIOTIN,CHEMBL857,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,-5.997013216059565,0.7829439111274702,O=C1N[C@H]2CSC[C@H]2N1
AZELAIC ACID,CHEMBL1238,O=C(O)CCCCCCCC(=O)O,-5.439648377716325,0.35318865224175205,
TYROSINE,CHEMBL925,N[C@@H](Cc1ccc(O)cc1)C(=O)O,-5.412956124547241,0.47717323710349546,c1ccccc1
AMINOCAPROIC ACID,CHEMBL1046,NCCCCCC(=O)O,-5.410738049027797,0.35563466433114765,
TRYPTOPHAN,CHEMBL54976,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,-5.405817457679149,0.6217996736105467,c1ccc2[nH]ccc2c1
PHENYLBUTANOIC ACID,CHEMBL1469,O=C(O)CCCc1ccccc1,-5.276727517905936,0.3867793894550572,c1ccccc1
SOLRIAMFETOL,CHEMBL4297620,NC(=O)OC[C@H](N)Cc1ccccc1,-5.25858694720495,0.45243281633200627,c1ccccc1
PHENACEMIDE,CHEMBL918,NC(=O)NC(=O)Cc1ccccc1,-5.257928424328077,0.3734536340015901,c1ccccc1
LEVODOPA,CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-5.257172171224518,0.4348716305295081,c1ccccc1
CYSTEINE HYDROCHLORIDE,CHEMBL1200630,Cl.N[C@@H](CS)C(=O)O,-5.245594944226435,0.34412586392396044,
CYSTEINE,CHEMBL863,N[C@@H](CS)C(=O)O,-5.238516157704696,0.34412586392396044,
AMINOLEVULINIC ACID HYDROCHLORIDE,CHEMBL1200582,Cl.NCC(=O)CCC(=O)O,-5.170763917924495,0.32106358283304076,
DICLOFENAC,CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-5.15513012127504,0.5289747799032816,c1ccc(Nc2ccccc2)cc1
CLONIDINE,CHEMBL134,Clc1cccc(Cl)c1NC1=NCCN1,-5.113525648593875,0.3532013951818333,c1ccc(NC2=NCCN2)cc1
DICLOFENAC SODIUM,CHEMBL1034,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],-5.112695614381756,0.45734919550132563,c1ccc(Nc2ccccc2)cc1
CLONIDINE HYDROCHLORIDE,CHEMBL1705,Cl.Clc1cccc(Cl)c1NC1=NCCN1,-5.1117550652605415,0.3549801829531819,c1ccc(NC2=NCCN2)cc1
DEBRISOQUIN,CHEMBL169901,N=C(N)N1CCc2ccccc2C1,-5.091560018773286,0.301602555811764,c1ccc2c(c1)CCNC2
MEFENAMIC ACID,CHEMBL686,Cc1cccc(Nc2ccccc2C(=O)O)c1C,-5.077628524489213,0.5832327604402839,c1ccc(Nc2ccccc2)cc1
MONOBENZONE,CHEMBL1388,Oc1ccc(OCc2ccccc2)cc1,-5.0647546745518595,0.35460681435606234,c1ccc(COc2ccccc2)cc1
ARMODAFINIL,CHEMBL1201192,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,-5.061682499950158,0.3920198259190591,c1ccc(Cc2ccccc2)cc1
MODAFINIL,CHEMBL1373,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,-5.061682499950158,0.3920198259190591,c1ccc(Cc2ccccc2)cc1
TOLAZOLINE,CHEMBL770,c1ccc(CC2=NCCN2)cc1,-5.060745192542511,0.3441521218615186,c1ccc(CC2=NCCN2)cc1
TOLAZOLINE HYDROCHLORIDE,CHEMBL1689,Cl.c1ccc(CC2=NCCN2)cc1,-5.052995961854123,0.3514536815908552,c1ccc(CC2=NCCN2)cc1
DICLOFENAC POTASSIUM,CHEMBL1200804,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+],-5.037143694007559,0.45734919550132563,c1ccc(Nc2ccccc2)cc1
