name,best_affinity,z_score,hit_level,family,source,repo_score,scaffold
NAFTAZONE,-8.339,-2.020432575262528,L1_Strong,Other,chembl_ml_screen,4.5,N=C1C=Cc2ccccc2C1=O
PHENOBARBITAL,-8.299,-1.9917609053835794,L2_Moderate,Other,chembl_ml_screen,4.5,O=C1NC(=O)C(c2ccccc2)C(=O)N1
CYCLOBARBITAL,-7.826,-1.6527184090650242,L2_Moderate,Other,chembl_ml_screen,4.5,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1
BUTALBITAL,-7.728,-1.5824728178616028,L2_Moderate,Other,chembl_ml_screen,4.5,O=C1CC(=O)NC(=O)N1
APROBARBITAL,-7.675,-1.5444828552719971,L2_Moderate,Other,chembl_ml_screen,4.5,O=C1CC(=O)NC(=O)N1
BUTABARBITAL,-7.667,-1.5387485212962078,L2_Moderate,Other,chembl_ml_screen,4.5,O=C1CC(=O)NC(=O)N1
TASIMELTEON,-7.661,-1.5344477708143653,L2_Moderate,Other,chembl_ml_screen,4.5,c1cc2c(c(C3CC3)c1)CCO2
PRIMIDONE,-7.63,-1.5122272266581813,L2_Moderate,Other,chembl_ml_screen,4.5,O=C1NCNC(=O)C1c1ccccc1
GLUTETHIMIDE,-7.611,-1.498608183465681,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CCC(c2ccccc2)C(=O)N1
HYDROFLUMETHIAZIDE,-7.589,-1.4828387650322603,L3_Absolute,Other,chembl_ml_screen,4.5,O=S1(=O)NCNc2ccccc21
AMOBARBITAL,-7.583,-1.4785380145504181,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CC(=O)NC(=O)N1
ESKETAMINE,-7.58,-1.4763876393094968,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CCCCC1c1ccccc1
MEPHOBARBITAL,-7.564,-1.4649189713579178,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1NC(=O)C(c2ccccc2)C(=O)N1
PENTOBARBITAL,-7.488,-1.4104427985879175,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CC(=O)NC(=O)N1
TETRAHYDROZOLINE,-7.468,-1.3961069636484436,L3_Absolute,Other,chembl_ml_screen,4.5,c1ccc2c(c1)CCCC2C1=NCCN1
MEPHENYTOIN,-7.395,-1.343781166119364,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1NC(=O)C(c2ccccc2)N1
DEBRISOQUIN,-7.385,-1.3366132486496272,L3_Absolute,Other,chembl_ml_screen,4.5,c1ccc2c(c1)CCNC2
DEXRAZOXANE,-7.378,-1.3315957064208115,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CN(CCN2CC(=O)NC(=O)C2)CC(=O)N1
CENOBAMATE,-7.368,-1.3244277889510747,L3_Absolute,Other,chembl_ml_screen,4.5,c1ccc(CCn2ncnn2)cc1
METYRAPONE,-7.358,-1.3172598714813375,L3_Absolute,Other,chembl_ml_screen,4.5,O=C(Cc1cccnc1)c1cccnc1
HYDRALAZINE,-7.344,-1.3072247870237061,L3_Absolute,Other,chembl_ml_screen,4.5,c1ccc2cnncc2c1
PHENACEMIDE,-7.292,-1.269951616181074,L3_Absolute,Other,chembl_ml_screen,4.5,c1ccccc1
SECOBARBITAL,-7.243,-1.2348288205793636,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CC(=O)NC(=O)N1
CICLOPIROX,-7.213,-1.2133250681701526,L3_Absolute,Other,chembl_ml_screen,4.5,O=c1cccc(C2CCCCC2)[nH]1
RUFINAMIDE,-7.2,-1.2040067754594947,L3_Absolute,Other,chembl_ml_screen,4.5,c1ccc(Cn2ccnn2)cc1
METHSUXIMIDE,-7.191,-1.1975556497367315,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1CC(c2ccccc2)C(=O)N1
PEMOLINE,-7.13,-1.1538313531713362,L3_Absolute,Other,chembl_ml_screen,4.5,O=C1N=COC1c1ccccc1
