name,best_affinity,z_score,hit_level,substructure,family,MW,LogP,HBA,HBD,TPSA,RotBonds,Rings,Carboxyl_count,Amide_count,Urea_count,smiles
PHENOBARBITAL,-8.299,-1.9917609053835796,L2_Moderate,Barbiturate,Other,232.23899999999995,0.7004,3,2,75.27000000000001,2,2,0,4,1,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
CYCLOBARBITAL,-7.826,-1.6527184090650242,L2_Moderate,Barbiturate,Other,236.271,1.2491999999999996,3,2,75.27000000000001,2,2,0,4,1,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
BUTALBITAL,-7.728,-1.5824728178616028,L2_Moderate,Barbiturate,Other,224.26,0.9609999999999999,3,2,75.27000000000001,4,1,0,4,1,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
APROBARBITAL,-7.675,-1.5444828552719971,L2_Moderate,Barbiturate,Other,210.23299999999998,0.5709000000000001,3,2,75.27000000000001,3,1,0,4,1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
BUTABARBITAL,-7.667,-1.5387485212962078,L2_Moderate,Barbiturate,Other,212.249,0.7948999999999999,3,2,75.27000000000001,3,1,0,4,1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
AMOBARBITAL,-7.583,-1.478538014550418,L3_Absolute,Barbiturate,Other,226.27599999999998,1.1849999999999998,3,2,75.27000000000001,4,1,0,4,1,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
MEPHOBARBITAL,-7.564,-1.4649189713579178,L3_Absolute,Barbiturate,Other,246.26599999999993,1.0426,3,1,66.48,2,2,0,4,1,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
PENTOBARBITAL,-7.488,-1.4104427985879175,L3_Absolute,Barbiturate,Other,226.276,1.1849999999999998,3,2,75.27000000000001,4,1,0,4,1,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
SECOBARBITAL,-7.243,-1.2348288205793636,L3_Absolute,Barbiturate,Other,238.28699999999998,1.3510999999999997,3,2,75.27000000000001,5,1,0,4,1,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
BARBITAL,-7.045,-1.0929040546785729,L3_Absolute,Barbiturate,Other,184.195,0.15879999999999994,3,2,75.27000000000001,2,1,0,4,1,CCC1(CC)C(=O)NC(=O)NC1=O
PROXIBARBAL,-7.035,-1.085736137208836,L3_Absolute,Barbiturate,Other,226.23199999999997,-0.3142,4,3,95.5,4,1,0,4,1,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
HEPTABARBITAL,-5.997,-0.3417063038501458,NonHit,Barbiturate,Other,250.29799999999997,1.6392999999999995,3,2,75.27000000000001,2,2,0,4,1,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
