name,best_affinity,z_score,hit_level,substructure,family,MW,LogP,HBA,HBD,TPSA,RotBonds,Rings,Carboxyl_count,Amide_count,Urea_count,smiles
NAFTAZONE,-8.339,-2.020432575262528,L1_Strong,Carbonyl,Other,215.212,0.9204000000000003,3,2,84.55000000000001,1,2,0,2,1,NC(=O)N/N=C1\C=Cc2ccccc2C1=O
PHENOBARBITAL,-8.299,-1.9917609053835796,L2_Moderate,Barbiturate,Other,232.23899999999995,0.7004,3,2,75.27000000000001,2,2,0,4,1,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
CYCLOBARBITAL,-7.826,-1.6527184090650242,L2_Moderate,Barbiturate,Other,236.271,1.2491999999999996,3,2,75.27000000000001,2,2,0,4,1,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
BUTALBITAL,-7.728,-1.5824728178616028,L2_Moderate,Barbiturate,Other,224.26,0.9609999999999999,3,2,75.27000000000001,4,1,0,4,1,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
APROBARBITAL,-7.675,-1.5444828552719971,L2_Moderate,Barbiturate,Other,210.23299999999998,0.5709000000000001,3,2,75.27000000000001,3,1,0,4,1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
BUTABARBITAL,-7.667,-1.5387485212962078,L2_Moderate,Barbiturate,Other,212.249,0.7948999999999999,3,2,75.27000000000001,3,1,0,4,1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
5-Hydroxytryptophan,-7.664,-0.8818325413503578,L3_Absolute,Amino_acid,Amino_acid,220.22799999999995,0.8278999999999999,3,4,99.33999999999999,3,2,1,0,0,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
TASIMELTEON,-7.661,-1.5344477708143651,L2_Moderate,Carbonyl,Other,245.32199999999995,2.2512,2,1,38.33,4,3,0,1,0,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2
PRIMIDONE,-7.63,-1.512227226658181,L2_Moderate,Carbonyl,Other,218.25599999999994,0.5378999999999999,2,2,58.2,2,2,0,2,0,CCC1(c2ccccc2)C(=O)NCNC1=O
GLUTETHIMIDE,-7.611,-1.498608183465681,L3_Absolute,Carbonyl,Other,217.26799999999992,1.771,2,1,46.17,2,2,0,2,0,CCC1(c2ccccc2)CCC(=O)NC1=O
HYDROFLUMETHIAZIDE,-7.589,-1.4828387650322603,L3_Absolute,Sulfonamide,Other,331.29699999999997,0.014100000000000557,5,3,118.35999999999999,1,2,0,0,0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
AMOBARBITAL,-7.583,-1.478538014550418,L3_Absolute,Barbiturate,Other,226.27599999999998,1.1849999999999998,3,2,75.27000000000001,4,1,0,4,1,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
ESKETAMINE,-7.58,-1.4763876393094968,L3_Absolute,Carbonyl,Other,237.7299999999999,2.897800000000001,2,1,29.1,2,2,0,0,0,CN[C@]1(c2ccccc2Cl)CCCCC1=O
MEPHOBARBITAL,-7.564,-1.4649189713579178,L3_Absolute,Barbiturate,Other,246.26599999999993,1.0426,3,1,66.48,2,2,0,4,1,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
PENTOBARBITAL,-7.488,-1.4104427985879175,L3_Absolute,Barbiturate,Other,226.276,1.1849999999999998,3,2,75.27000000000001,4,1,0,4,1,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
TETRAHYDROZOLINE,-7.468,-1.3961069636484436,L3_Absolute,Imidazoline,Other,200.285,2.1082,2,1,24.39,1,3,0,0,0,c1ccc2c(c1)CCCC2C1=NCCN1
MEPHENYTOIN,-7.395,-1.343781166119364,L3_Absolute,Hydantoin/Ureide,Other,218.25599999999994,1.4735000000000003,2,1,49.410000000000004,2,2,0,3,1,CCC1(c2ccccc2)NC(=O)N(C)C1=O
DEBRISOQUIN,-7.385,-1.3366132486496272,L3_Absolute,Guanidine,Other,175.23499999999999,0.9381699999999995,1,2,53.11000000000001,0,2,0,0,0,N=C(N)N1CCc2ccccc2C1
DEXRAZOXANE,-7.378,-1.3315957064208117,L3_Absolute,Carbonyl,Other,268.27299999999997,-2.708299999999996,6,2,98.82,3,2,0,4,0,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
CENOBAMATE,-7.368,-1.3244277889510747,L3_Absolute,Carboxylic_acid,Other,267.67600000000004,1.1630999999999994,5,1,95.92000000000002,4,2,1,1,0,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
METYRAPONE,-7.358,-1.3172598714813375,L3_Absolute,Carbonyl,Other,226.279,2.637100000000001,3,0,42.85,3,2,0,0,0,CC(C)(C(=O)c1cccnc1)c1cccnc1
HYDRALAZINE,-7.344,-1.307224787023706,L3_Absolute,N-heterocycle,Other,160.17999999999998,0.9153999999999998,4,2,63.83,1,2,0,0,0,NNc1nncc2ccccc12
PHENACEMIDE,-7.292,-1.269951616181074,L3_Absolute,Carbonyl,Other,178.191,0.42399999999999954,2,2,72.19,2,1,0,3,1,NC(=O)NC(=O)Cc1ccccc1
Biotin_Sulfone,-7.255,-0.7817606299607576,L3_Absolute,Biotin_analog,Biotin_analog,276.31399999999996,-0.5215999999999992,4,3,112.57,5,2,1,2,1,C1C2C(C(S1(=O)=O)CCCCC(=O)O)NC(=O)N2
SECOBARBITAL,-7.243,-1.2348288205793636,L3_Absolute,Barbiturate,Other,238.28699999999998,1.3510999999999997,3,2,75.27000000000001,5,1,0,4,1,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
DICLOFENAC,-7.232,-1.226944111362653,L3_Absolute,Carboxylic_acid,Other,296.153,4.364100000000001,2,2,49.33,4,2,1,0,0,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
CICLOPIROX,-7.213,-1.2133250681701526,L3_Absolute,N-heterocycle,Other,207.273,2.4417199999999992,2,1,42.230000000000004,1,2,0,0,0,Cc1cc(C2CCCCC2)n(O)c(=O)c1
RUFINAMIDE,-7.2,-1.2040067754594947,L3_Absolute,Carbonyl,Other,238.197,0.7035000000000001,3,1,73.80000000000001,3,2,0,1,0,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
METHSUXIMIDE,-7.191,-1.1975556497367317,L3_Absolute,Succinimide,Other,203.241,1.333,2,0,37.38,1,2,0,2,0,CN1C(=O)CC(C)(c2ccccc2)C1=O
Diclofenac,-7.15,-0.7560697969634276,L3_Absolute,Carboxylic_acid,Other,296.153,4.364100000000001,2,2,49.33,4,2,1,0,0,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
PEMOLINE,-7.13,-1.1538313531713362,L3_Absolute,Carbonyl,Other,176.17499999999998,0.5992000000000001,3,1,64.67999999999999,1,2,0,1,0,NC1=NC(=O)C(c2ccccc2)O1
LAMOTRIGINE,-7.106,-1.1366283512439677,L3_Absolute,N-heterocycle,Other,256.09599999999995,2.0098,5,2,90.71,1,2,0,0,0,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
TIPIRACIL,-7.078,-1.1165581823287047,L3_Absolute,N-heterocycle,Other,242.666,0.28967,3,3,92.81,2,2,0,0,0,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
BELINOSTAT,-7.063,-1.105806306124099,L3_Absolute,Sulfonamide,Other,318.354,2.0060000000000002,4,3,95.5,5,2,0,1,0,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
BARBITAL,-7.045,-1.0929040546785729,L3_Absolute,Barbiturate,Other,184.195,0.15879999999999994,3,2,75.27000000000001,2,1,0,4,1,CCC1(CC)C(=O)NC(=O)NC1=O
PROXIBARBAL,-7.035,-1.085736137208836,L3_Absolute,Barbiturate,Other,226.23199999999997,-0.3142,4,3,95.5,4,1,0,4,1,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
IBUDILAST,-7.025,-1.078568219739099,L3_Absolute,Carbonyl,Other,230.311,3.296400000000002,2,0,34.370000000000005,3,2,0,0,0,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
AMINOGLUTETHIMIDE,-7.011,-1.068533135281467,L3_Absolute,Carbonyl,Other,232.28299999999996,1.3532,3,2,72.19,2,2,0,2,0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
INDALPINE,-7.0,-1.0606484260647566,L5_Weak,N-heterocycle,Other,228.339,3.100100000000001,1,2,27.82,3,3,0,0,0,c1ccc2c(CCC3CCNCC3)c[nH]c2c1
RASAGILINE,-6.981,-1.0470293828722566,L4_BiotinLike,Other,Other,171.243,1.8967,1,1,12.03,2,2,0,0,0,C#CCN[C@@H]1CCc2ccccc21
METAXALONE,-6.971,-1.0398614654025198,L4_BiotinLike,Small_acid,Other,221.256,1.7906399999999998,3,1,47.56,3,2,1,1,0,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
PHENMETRAZINE,-6.97,-1.039144673655546,L4_BiotinLike,Other,Other,177.247,1.736,2,1,21.259999999999998,1,2,0,0,0,CC1NCCOC1c1ccccc1
NITROXOLINE,-6.945,-1.021224879981204,L4_BiotinLike,N-heterocycle,Other,190.158,1.8485999999999996,4,1,76.26,1,2,0,0,0,O=[N+]([O-])c1ccc(O)c2ncccc12
Homobiotin,-6.944,-0.7056668293686654,L4_BiotinLike,Biotin_analog,Biotin_analog,258.34299999999996,1.1869,3,3,78.43,6,2,1,2,1,C1C2C(C(S1)CCCCCC(=O)O)NC(=O)N2
SULFAPYRIDINE,-6.921,-1.0040218780538357,L4_BiotinLike,Sulfonamide,Other,249.29500000000004,1.4646000000000001,4,2,85.08,3,2,0,0,0,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
Desthiobiotin,-6.914,-0.6983265913694282,L4_BiotinLike,Small_acid,Biotin_analog,214.26499999999996,1.0914,2,3,78.43,6,1,1,2,1,CC1C(NC(=O)N1)CCCCCC(=O)O
TEGAFUR,-6.887,-0.9796509586567296,L4_BiotinLike,N-heterocycle,Other,200.16899999999998,-0.015300000000000313,3,1,64.09,1,2,0,0,0,O=c1[nH]c(=O)n(C2CCCO2)cc1F
BENZOYL PEROXIDE,-6.885,-0.9782173751627824,L4_BiotinLike,Dicarboxylic_acid,Other,242.23000000000002,2.615400000000001,4,0,52.6,2,2,2,0,0,O=C(OOC(=O)c1ccccc1)c1ccccc1
ATOMOXETINE,-6.883,-0.976783791668835,L4_BiotinLike,Other,Other,255.361,3.7246200000000034,2,1,21.259999999999998,6,2,0,0,0,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
L-Tryptophan,-6.876,-0.6890289565703946,L4_BiotinLike,Amino_acid,Amino_acid,204.22899999999996,1.1222999999999996,2,3,79.11,3,2,1,0,0,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
Biotin_Sulfoxide,-6.868,-0.687071559770598,L4_BiotinLike,Biotin_analog,Biotin_analog,260.31499999999994,-0.18769999999999964,3,3,95.5,5,2,1,2,1,C1C2C(C(S1(=O))CCCCC(=O)O)NC(=O)N2
ZONISAMIDE,-6.866,-0.964598331970282,L4_BiotinLike,Sulfonamide,Other,212.23000000000002,0.6163,4,1,86.19000000000001,2,2,0,0,0,NS(=O)(=O)Cc1noc2ccccc12
TRYPTOPHAN,-6.865,-0.9638815402233089,L4_BiotinLike,Amino_acid,Amino_acid,204.22899999999998,1.1223000000000003,2,3,79.11,3,2,1,0,0,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
CARBARIL,-6.854,-0.955996831006598,L4_BiotinLike,Small_acid,Other,201.225,2.5580000000000007,2,1,38.33,1,2,1,1,0,CNC(=O)Oc1cccc2ccccc12
MENADIONE,-6.826,-0.9359266620913343,L4_BiotinLike,Carbonyl,Other,172.18299999999996,2.0119000000000002,2,0,34.14,0,2,0,0,0,CC1=CC(=O)c2ccccc2C1=O
