substructure,N,Mean_ΔG,Best_ΔG,Worst_ΔG,Hits,Strong_Hits
Barbiturate,12,-7.429166666666667,-8.299,-5.997,11,11
Biotin_analog,7,-6.83,-7.255,-6.426,7,1
Succinimide,4,-6.63475,-7.191,-6.196,4,1
Fenamate,6,-6.286666666666666,-6.741,-5.855,4,0
Hydantoin/Ureide,3,-6.268666666666667,-7.395,-5.019,2,1
Small_acid,32,-5.9605,-6.971,-5.044,16,0
Carbonyl,84,-5.60710869047619,-8.339,0.0,38,12
Profens,16,-5.40725,-6.394,-4.336,4,0
N-heterocycle,84,-5.3972976190476185,-7.344,-2.091,24,4
Imidazoline,9,-5.3308888888888895,-7.468,-3.767,4,1
Salicylate,7,-5.0889999999999995,-6.676,-0.085,2,0
Other,72,-5.081388888888889,-6.981,0.0,17,0
Guanidine,10,-4.9214,-7.385,0.0,2,1
Dicarboxylic_acid,12,-4.65725,-6.885,1.174,4,0
Amino_acid,25,-4.4048,-7.664,6.317,11,1
Sulfonamide,27,-4.360032962962963,-7.589,15.54,15,2
Carboxylic_acid,30,-3.406743333333333,-7.368,7.329,9,3
