gene,smvt_correlation,pre_centrality,post_centrality,centrality_delta,impact_score
CS,0.6894257182174692,0.682599806029214,0.656083432251619,0.02651637377759497,0.4242619804415195
SLC19A2,0.6480582383216457,0.5870210913932449,0.56209577453472,0.024925316858524837,0.3988050697363973
DPH2,0.646315944378745,0.5932983842500311,0.5684400786970024,0.024858305553028703,0.3977328888484584
SLC26A4,0.6453077892467726,0.6400959981348072,0.6152764677791621,0.024819530355645103,0.39711248569032154
PDHA1,0.6391849925083863,0.6158547514864381,0.5912707133130387,0.02458403817339938,0.3933446107743916
PDHX,0.6341869287983952,0.630445433561955,0.6060536286081706,0.024391804953784457,0.3902688792605509
ACACB,0.6245472216903241,0.6210827666905356,0.5970617197024463,0.02402104698808938,0.3843367518094302
HLCS,0.6228592942297589,0.5911002795098368,0.5671441528086922,0.023956126701144553,0.3832980272183132
PDZD11,0.6143236243835423,0.6157803797038568,0.5921525479967975,0.023627831707059288,0.37804530731294905
PC,0.6130118250004482,0.6160667638352054,0.5924893859505728,0.023577377884632655,0.37723804615412193
PDHB,0.6034713717593442,0.6067145535473926,0.5835041161720332,0.023210437375359327,0.37136699800575024
SLC22A12,0.6006158600395956,0.5924608180703521,0.5693602080688293,0.02310061000152286,0.36960976002436646
BTD,0.5996007424887858,0.6151752948593759,0.5921137278405765,0.023061567018799467,0.36898507230079125
CFTR,0.5969214079171676,0.6165171415552858,0.5935586258661639,0.022958515689121883,0.3673362510259493
PCCA,0.5902248129653739,0.5911582364827448,0.5684572821379227,0.02270095434482211,0.36321526951715316
MCCC1,0.5764648423215407,0.6031721976946348,0.5810004729899603,0.022171724704674545,0.35474759527479427
SREBF1,0.572520770176748,0.611635607111346,0.5896155774891634,0.022020029622182635,0.3523204739549218
ACLY,0.5713340453915301,0.5805941034760361,0.5586197171148235,0.021974386361212628,0.3515901817794031
SLC5A3,0.5676943235695912,0.5680938527364062,0.5462594556760373,0.021834397060368937,0.3493503529659022
SLC23A1,0.5601037173436305,0.5931811310387491,0.5716386803716864,0.02154245066706273,0.3446792106730034
ACACA,0.5569172616705275,0.5932518737075494,0.5718319790279137,0.021419894679635676,0.34271831487417076
SCD,0.552082227702885,0.5766311220035539,0.5553971901688276,0.021233931834726327,0.33974290935562146
SLC5A7,0.5369323410921607,0.5653597023776146,0.5447084584894545,0.020651243888160087,0.33041990221056045
DLAT,0.44069675839735156,0.44955923160486166,0.4326093562818866,0.01694987532297504,0.27119800516760095
FASN,0.40595776790565014,0.42315810733133985,0.40754434702727643,0.015613760304063418,0.24982016486501543
CHAT,0.3497496538527754,0.40544319919330085,0.39199128942973255,0.013451909763568304,0.21523055621709256
