gene,distance,Z,FC,p.value,p.adj
SLC5A6,0.000684706441348617,7.83375312235348,162824.883927331,0,0
GGH,1.6260621106561e-05,2.66512200065061,91.8303439324172,9.44352527665685e-22,4.72176263832842e-19
MYC,1.60612386372512e-05,2.65333928375373,89.5921626371206,2.92681330000195e-21,9.75604433333982e-19
ASCL2,1.34777097640346e-05,2.48874724597084,63.0876208818114,1.97712790185554e-15,4.94281975463885e-13
AHCY,1.11314023911417e-05,2.31525898012153,43.0339999593142,5.37967793722049e-11,1.0759355874441e-08
PABPC1,8.54143625216616e-06,2.08501098145178,25.3380832163314,4.811154662043e-07,8.018591103405e-05
LAPTM4B,8.12019239290748e-06,2.04231817164721,22.9004801705158,1.70609229075084e-06,0.000243727470107263
RPS21,7.59691856777282e-06,1.98669878028136,20.0441153158228,7.56760440379632e-06,0.00094595055047454
EEF1D,7.13880025982979e-06,1.93538339271627,17.6995576205268,2.58686755528365e-05,0.0028742972836485
ERGIC3,6.40724739962472e-06,1.84758706382247,14.2578794109907,0.000159392105842786,0.0159392105842786
RPL30,6.33261703556815e-06,1.83817848079083,13.9276678173694,0.000189981286117951,0.0172710260107228
RPS20,6.24529617088212e-06,1.82705476471006,13.5462169810206,0.000232760101862843,0.0193966751552369
C19orf33,6.14653136324713e-06,1.81431962439774,13.1211576710506,0.000291979557912094,0.022459965993238
TSPAN1,6.09472503629296e-06,1.80757278649876,12.9009052216182,0.000328423254650715,0.0234588039036225
LYPLA1,6.05853236384882e-06,1.80283159953643,12.7481397170828,0.000356363425148003,0.0237575616765335
PSMA7,5.92397375346049e-06,1.78499995636192,12.1881615391748,0.000480937588109629,0.0300585992568518
RPL7,5.62353298197021e-06,1.74396376919772,10.9832392367032,0.000919395909898435,0.0540821123469668
EIF3H,5.32037070962983e-06,1.70070563255378,9.83095567480631,0.00171599168044004,0.095332871135558
AGR3,5.26450592112664e-06,1.69251644048328,9.62558619182743,0.00191885195561998,0.100992208190525
EIF3E,5.17122248206011e-06,1.67868305212126,9.28749078804742,0.00230723983465478,0.115361991732739
FTL,5.02415434616777e-06,1.65645549769878,8.76673534232183,0.00306774055611176,0.14608288362437
TSPAN3,4.74627642555875e-06,1.61297060318175,7.82380480138144,0.00515625329258438,0.231768834051361
S100A16,4.72800823683287e-06,1.61003989690622,7.76369381297241,0.00533068318318131,0.231768834051361
AGR2,4.58641136539794e-06,1.58700589722211,7.30563482791355,0.00687387074555356,0.286411281064732
AHNAK,4.3957415031688e-06,1.55505673938282,6.71083005452453,0.00958291084106233,0.383316433642493
SLPI,4.31876401688513e-06,1.54183791278382,6.47785017057209,0.0109227016466695,0.420103909487288
EMP1,4.27711302285032e-06,1.53460533697713,6.35350540285335,0.011714959268256,0.425449860190719
MUC1,4.26441985810986e-06,1.53238981114509,6.31585083359221,0.0119663310462449,0.425449860190719
ZFAS1,4.24607648047702e-06,1.52917856903904,6.26163250236724,0.0123380459455309,0.425449860190719
EREG,4.14720237505897e-06,1.5116723469053,5.97341113803458,0.0145231604619152,0.484105348730506
ANXA2,4.05953408803211e-06,1.49586374276373,5.72353490017705,0.0167389973444124,0.539967656271368
RPL8,4.00637822467829e-06,1.48614271779772,5.5746273828356,0.0182225420822875,0.569454440071485
