name,best_affinity,z_score,hit_level,family,round,source,exhaustiveness,scaffold,smiles
NAFTAZONE,-8.339,-2.020432575262528,L1_Strong,Other,R4,chembl_ml_screen,16,N=C1C=Cc2ccccc2C1=O,NC(=O)N/N=C1\C=Cc2ccccc2C1=O
PHENOBARBITAL,-8.299,-1.9917609053835794,L2_Moderate,Other,R4,chembl_ml_screen,16,O=C1NC(=O)C(c2ccccc2)C(=O)N1,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
CYCLOBARBITAL,-7.826,-1.6527184090650242,L2_Moderate,Other,R4,chembl_ml_screen,16,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
BUTALBITAL,-7.728,-1.5824728178616028,L2_Moderate,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=O)N1,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
APROBARBITAL,-7.675,-1.5444828552719971,L2_Moderate,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=O)N1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
BUTABARBITAL,-7.667,-1.5387485212962078,L2_Moderate,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=O)N1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
5-Hydroxytryptophan,-7.664,-0.8818325413503578,L3_Absolute,Amino_acid,R1-R3,hand_picked,8,c1ccc2[nH]ccc2c1,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
TASIMELTEON,-7.661,-1.5344477708143653,L2_Moderate,Other,R4,chembl_ml_screen,16,c1cc2c(c(C3CC3)c1)CCO2,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2
PRIMIDONE,-7.63,-1.5122272266581813,L2_Moderate,Other,R4,chembl_ml_screen,16,O=C1NCNC(=O)C1c1ccccc1,CCC1(c2ccccc2)C(=O)NCNC1=O
GLUTETHIMIDE,-7.611,-1.498608183465681,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CCC(c2ccccc2)C(=O)N1,CCC1(c2ccccc2)CCC(=O)NC1=O
HYDROFLUMETHIAZIDE,-7.589,-1.4828387650322603,L3_Absolute,Other,R4,chembl_ml_screen,16,O=S1(=O)NCNc2ccccc21,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
AMOBARBITAL,-7.583,-1.4785380145504181,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=O)N1,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
ESKETAMINE,-7.58,-1.4763876393094968,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CCCCC1c1ccccc1,CN[C@]1(c2ccccc2Cl)CCCCC1=O
MEPHOBARBITAL,-7.564,-1.4649189713579178,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1NC(=O)C(c2ccccc2)C(=O)N1,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
PENTOBARBITAL,-7.488,-1.4104427985879175,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=O)N1,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
TETRAHYDROZOLINE,-7.468,-1.3961069636484436,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccc2c(c1)CCCC2C1=NCCN1,c1ccc2c(c1)CCCC2C1=NCCN1
MEPHENYTOIN,-7.395,-1.343781166119364,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1NC(=O)C(c2ccccc2)N1,CCC1(c2ccccc2)NC(=O)N(C)C1=O
DEBRISOQUIN,-7.385,-1.3366132486496272,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccc2c(c1)CCNC2,N=C(N)N1CCc2ccccc2C1
DEXRAZOXANE,-7.378,-1.3315957064208115,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CN(CCN2CC(=O)NC(=O)C2)CC(=O)N1,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
CENOBAMATE,-7.368,-1.3244277889510747,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccc(CCn2ncnn2)cc1,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
METYRAPONE,-7.358,-1.3172598714813375,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C(Cc1cccnc1)c1cccnc1,CC(C)(C(=O)c1cccnc1)c1cccnc1
HYDRALAZINE,-7.344,-1.3072247870237061,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccc2cnncc2c1,NNc1nncc2ccccc12
PHENACEMIDE,-7.292,-1.269951616181074,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccccc1,NC(=O)NC(=O)Cc1ccccc1
Biotin_Sulfone,-7.255,-0.7817606299607576,L3_Absolute,Biotin_analog,R1-R3,hand_picked,8,O=C1NC2CS(=O)(=O)CC2N1,C1C2C(C(S1(=O)=O)CCCCC(=O)O)NC(=O)N2
SECOBARBITAL,-7.243,-1.2348288205793636,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=O)N1,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
DICLOFENAC,-7.232,-1.226944111362653,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccc(Nc2ccccc2)cc1,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
CICLOPIROX,-7.213,-1.2133250681701526,L3_Absolute,Other,R4,chembl_ml_screen,16,O=c1cccc(C2CCCCC2)[nH]1,Cc1cc(C2CCCCC2)n(O)c(=O)c1
RUFINAMIDE,-7.2,-1.2040067754594947,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccc(Cn2ccnn2)cc1,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
METHSUXIMIDE,-7.191,-1.1975556497367315,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CC(c2ccccc2)C(=O)N1,CN1C(=O)CC(C)(c2ccccc2)C1=O
Diclofenac,-7.15,-0.7560697969634276,L3_Absolute,Other,R1-R3,hand_picked,8,c1ccc(Nc2ccccc2)cc1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
PEMOLINE,-7.13,-1.1538313531713362,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1N=COC1c1ccccc1,NC1=NC(=O)C(c2ccccc2)O1
LAMOTRIGINE,-7.106,-1.1366283512439677,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccc(-c2cncnn2)cc1,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
TIPIRACIL,-7.078,-1.1165581823287047,L3_Absolute,Other,R4,chembl_ml_screen,16,N=C1CCCN1Cc1cc(=O)[nH]c(=O)[nH]1,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
BELINOSTAT,-7.063,-1.105806306124099,L3_Absolute,Other,R4,chembl_ml_screen,16,O=S(=O)(Nc1ccccc1)c1ccccc1,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
BARBITAL,-7.045,-1.0929040546785727,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=O)N1,CCC1(CC)C(=O)NC(=O)NC1=O
PROXIBARBAL,-7.035,-1.0857361372088359,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=O)N1,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
IBUDILAST,-7.025,-1.0785682197390993,L3_Absolute,Other,R4,chembl_ml_screen,16,c1ccn2nccc2c1,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
AMINOGLUTETHIMIDE,-7.011,-1.0685331352814673,L3_Absolute,Other,R4,chembl_ml_screen,16,O=C1CCC(c2ccccc2)C(=O)N1,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
INDALPINE,-7.0,-1.0606484260647566,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,c1ccc2c(CCC3CCNCC3)c[nH]c2c1
RASAGILINE,-6.981,-1.0470293828722566,L4_BiotinLike,Other,R4,chembl_ml_screen,16,c1ccc2c(c1)CCC2,C#CCN[C@@H]1CCc2ccccc21
METAXALONE,-6.971,-1.0398614654025198,L4_BiotinLike,Other,R4,chembl_ml_screen,16,O=C1NCC(COc2ccccc2)O1,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
PHENMETRAZINE,-6.97,-1.0391446736555459,L4_BiotinLike,Other,R4,chembl_ml_screen,16,c1ccc(C2CNCCO2)cc1,CC1NCCOC1c1ccccc1
NITROXOLINE,-6.945,-1.021224879981204,L4_BiotinLike,Other,R4,chembl_ml_screen,16,c1ccc2ncccc2c1,O=[N+]([O-])c1ccc(O)c2ncccc12
Homobiotin,-6.944,-0.7056668293686654,L4_BiotinLike,Biotin_analog,R1-R3,hand_picked,8,O=C1NC2CSCC2N1,C1C2C(C(S1)CCCCCC(=O)O)NC(=O)N2
SULFAPYRIDINE,-6.921,-1.0040218780538355,L4_BiotinLike,Other,R4,chembl_ml_screen,16,O=S(=O)(Nc1ccccn1)c1ccccc1,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
Desthiobiotin,-6.914,-0.6983265913694282,L4_BiotinLike,Biotin_analog,R1-R3,hand_picked,8,O=C1NCCN1,CC1C(NC(=O)N1)CCCCCC(=O)O
TEGAFUR,-6.887,-0.9796509586567295,L4_BiotinLike,Other,R4,chembl_ml_screen,16,O=c1ccn(C2CCCO2)c(=O)[nH]1,O=c1[nH]c(=O)n(C2CCCO2)cc1F
BENZOYL PEROXIDE,-6.885,-0.9782173751627823,L4_BiotinLike,Other,R4,chembl_ml_screen,16,O=C(OOC(=O)c1ccccc1)c1ccccc1,O=C(OOC(=O)c1ccccc1)c1ccccc1
ATOMOXETINE,-6.883,-0.976783791668835,L4_BiotinLike,Other,R4,chembl_ml_screen,16,c1ccc(COc2ccccc2)cc1,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
L-Tryptophan,-6.876,-0.6890289565703946,L4_BiotinLike,Amino_acid,R1-R3,hand_picked,8,c1ccc2[nH]ccc2c1,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
Biotin_Sulfoxide,-6.868,-0.687071559770598,L4_BiotinLike,Biotin_analog,R1-R3,hand_picked,8,O=C1NC2CS(=O)CC2N1,C1C2C(C(S1(=O))CCCCC(=O)O)NC(=O)N2
ZONISAMIDE,-6.866,-0.964598331970282,L4_BiotinLike,Other,R4,chembl_ml_screen,16,c1ccc2oncc2c1,NS(=O)(=O)Cc1noc2ccccc12
TRYPTOPHAN,-6.865,-0.9638815402233087,L4_BiotinLike,Amino_acid,R4,chembl_ml_screen,16,c1ccc2[nH]ccc2c1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
CARBARIL,-6.854,-0.955996831006598,L4_BiotinLike,Other,R4,chembl_ml_screen,16,c1ccc2ccccc2c1,CNC(=O)Oc1cccc2ccccc12
MENADIONE,-6.826,-0.9359266620913345,L4_BiotinLike,Other,R4,chembl_ml_screen,16,O=C1C=CC(=O)c2ccccc21,CC1=CC(=O)c2ccccc2C1=O
TROPICAMIDE,-6.826,-0.9359266620913345,L4_BiotinLike,Other,R4,chembl_ml_screen,16,O=C(Cc1ccccc1)NCc1ccncc1,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
BIOTIN,-6.816,-0.9287587446215977,L4_BiotinLike,Biotin_analog,R4,chembl_ml_screen,16,O=C1N[C@H]2CSC[C@H]2N1,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
BENZYL BENZOATE,-6.8,-0.9172900766700186,L4_BiotinLike,Other,R4,chembl_ml_screen,16,O=C(OCc1ccccc1)c1ccccc1,O=C(OCc1ccccc1)c1ccccc1
LOFEXIDINE,-6.783,-0.9051046169714663,L4_BiotinLike,Other,R4,chembl_ml_screen,16,c1ccc(OCC2=NCCN2)cc1,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
SOLRIAMFETOL,-6.763,-0.8907687820319922,L4_BiotinLike,Other,R4,chembl_ml_screen,16,c1ccccc1,NC(=O)OC[C@H](N)Cc1ccccc1
Biotin,-6.762,-0.6611360521732931,L4_BiotinLike,Biotin_analog,R1-R3,hand_picked,8,O=C1NC2CSCC2N1,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
Flufenamic_Acid,-6.741,-0.6559978855738271,L5_Weak,Fenamate,R1-R3,hand_picked,8,c1ccc(Nc2ccccc2)cc1,FC(F)(F)C1=CC=CC(=C1)NC2=CC=CC=C2C(=O)O
Norbiotin,-6.739,-0.655508536373878,L5_Weak,Biotin_analog,R1-R3,hand_picked,8,O=C1NC2CSCC2N1,C1C2C(C(S1)CCCC(=O)O)NC(=O)N2
MONOBENZONE,-6.736,-0.8714154048637025,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc(COc2ccccc2)cc1,Oc1ccc(OCc2ccccc2)cc1
SULFADIAZINE,-6.731,-0.8678314461288341,L5_Weak,Other,R4,chembl_ml_screen,16,O=S(=O)(Nc1ncccn1)c1ccccc1,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
L-Phenylalanine,-6.721,-0.6511043935743357,L5_Weak,Amino_acid,R1-R3,hand_picked,8,c1ccccc1,C1=CC=C(C=C1)CC(C(=O)O)N
Niflumic_Acid,-6.72,-0.6508597189743611,L5_Weak,Fenamate,R1-R3,hand_picked,8,c1ccc(Nc2ccccn2)cc1,FC(F)(F)C1=CC=NC(=C1)NC2=CC=CC=C2C(=O)O
TICLOPIDINE,-6.706,-0.8499116524544922,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc(CN2CCc3sccc3C2)cc1,Clc1ccccc1CN1CCc2sccc2C1
CHLORZOXAZONE,-6.699,-0.844894110225676,L5_Weak,Other,R4,chembl_ml_screen,16,O=c1[nH]c2ccccc2o1,O=c1[nH]c2cc(Cl)ccc2o1
COUMARIN,-6.687,-0.836292609261992,L5_Weak,Other,R4,chembl_ml_screen,16,O=c1ccc2ccccc2o1,O=c1ccc2ccccc2o1
DIAZOXIDE,-6.682,-0.8327086505271236,L5_Weak,Other,R4,chembl_ml_screen,16,O=S1(=O)NC=Nc2ccccc21,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
Aspirin,-6.676,-0.64009403657548,L5_Weak,Other,R1-R3,hand_picked,8,c1ccccc1,CC(=O)OC1=CC=CC=C1C(=O)O
KETAMINE,-6.665,-0.8205231908285707,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1CCCCC1c1ccccc1,CNC1(c2ccccc2Cl)CCCCC1=O
