name,smiles,ml_score
CYSTEINE HYDROCHLORIDE,Cl.N[C@@H](CS)C(=O)O,-5.245594944226435
SOLRIAMFETOL HYDROCHLORIDE,Cl.NC(=O)OC[C@H](N)Cc1ccccc1,-5.240940953503228
DEXTROAMPHETAMINE ADIPATE,C[C@H](N)Cc1ccccc1.O=C(O)CCCCC(=O)O,-5.236649295416613
AMPHETAMINE ADIPATE,CC(N)Cc1ccccc1.O=C(O)CCCCC(=O)O,-5.236649295416613
SODIUM PHENYLBUTYRATE,O=C([O-])CCCc1ccccc1.[Na+],-5.201680577277107
GUANFACINE,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,-5.176122672571315
PHENELZINE,NNCCc1ccccc1,-5.175129146612001
GUANFACINE HYDROCHLORIDE,Cl.N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,-5.172547889237982
AMINOLEVULINIC ACID HYDROCHLORIDE,Cl.NCC(=O)CCC(=O)O,-5.170763917924495
FLUORODOPA,N[C@@H](Cc1cc(O)c(O)cc1F)C(=O)O,-5.170189419319009
FLUORODOPA F 18,N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,-5.170189419319009
PHENICARBAZIDE,NC(=O)NNc1ccccc1,-5.169962097460908
SALICYLIC ACID,O=C(O)c1ccccc1O,-5.163860426505609
ALCLOFENAC,C=CCOc1ccc(CC(=O)O)cc1Cl,-5.163091244863498
AMINOLEVULINIC ACID,NCC(=O)CCC(=O)O,-5.16290611737904
PHENFORMIN HYDROCHLORIDE,Cl.N=C(N)NC(=N)NCCc1ccccc1,-5.150013853757937
PHENFORMIN,N=C(N)NC(=N)NCCc1ccccc1,-5.146442343345016
IOBENGUANE,N=C(N)NCc1cccc(I)c1,-5.135238590776283
IOBENGUANE I 131,N=C(N)NCc1cccc([131I])c1,-5.135238590776283
DOPAMINE,NCCc1ccc(O)c(O)c1,-5.120656556093865
DICLOFENAC SODIUM,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],-5.112695614381756
CLONIDINE HYDROCHLORIDE,Cl.Clc1cccc(Cl)c1NC1=NCCN1,-5.1117550652605415
DOPAMINE HYDROCHLORIDE,Cl.NCCc1ccc(O)c(O)c1,-5.102581198250727
VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO,-5.07482569089924
BACLOFEN,NCC(CC(=O)O)c1ccc(Cl)cc1,-5.064027659732818
GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl,-5.062630179091391
