name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
GUANFACINE,CHEMBL862,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,-5.176122672571315,0.3709235379429015
FLUORODOPA,CHEMBL3547132,N[C@@H](Cc1cc(O)c(O)cc1F)C(=O)O,-5.170189419319009,0.4584412763550939
FLUORODOPA F 18,CHEMBL3400972,N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,-5.170189419319009,0.4584412763550939
PHENICARBAZIDE,CHEMBL1593719,NC(=O)NNc1ccccc1,-5.169962097460908,0.3522322483192775
ALCLOFENAC,CHEMBL94081,C=CCOc1ccc(CC(=O)O)cc1Cl,-5.163091244863498,0.4479201178360618
VORINOSTAT,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,-5.07482569089924,0.3869045427205501
BACLOFEN,CHEMBL701,NCC(CC(=O)O)c1ccc(Cl)cc1,-5.064027659732818,0.3963092156067612
FELBAMATE,CHEMBL1094,NC(=O)OCC(COC(N)=O)c1ccccc1,-5.057514869138697,0.3789426406748014
SUCCIMER,CHEMBL1201073,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,-5.049020445430082,0.2723851151326328
METHYL SALICYLATE,CHEMBL108545,COC(=O)c1ccccc1O,-5.029467288434228,0.3238988224399474
ASPIRIN,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,-5.003789916284083,0.5139411362783628
TIOPRONIN,CHEMBL1314,CC(S)C(=O)NCC(=O)O,-4.978868905751012,0.2609507603198039
EFLORNITHINE,CHEMBL830,NCCCC(N)(C(=O)O)C(F)F,-4.958884267374374,0.3376384305125127
BROMISOVALUM,CHEMBL1515611,CC(C)C(Br)C(=O)NC(N)=O,-4.954021845619641,0.2035809685616661
TARTARIC ACID,CHEMBL1236315,O=C(O)[C@H](O)[C@@H](O)C(=O)O,-4.938323511093811,0.2696128667451836
CHLORPHENESIN CARBAMATE,CHEMBL607710,NC(=O)OCC(O)COc1ccc(Cl)cc1,-4.927927454976199,0.3371354047272353
IODOHIPPURATE,CHEMBL1681,O=C(O)CNC(=O)c1ccccc1I,-4.913818266007914,0.4026799512005363
METYROSINE,CHEMBL1200862,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,-4.909496097211568,0.3553007405159757
NEOSTIGMINE,CHEMBL278020,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,-4.908180437965992,0.3548917119961964
CARMUSTINE,CHEMBL513,O=NN(CCCl)C(=O)NCCCl,-4.901797632117605,0.2590383102824527
SELENOMETHIONINE,CHEMBL113178,C[Se]CC[C@H](N)C(=O)O,-4.900673224314279,0.3356669786926556
LACOSAMIDE,CHEMBL58323,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,-4.872870884860182,0.3321981505964493
ACETYLCYSTEINE,CHEMBL600,CC(=O)N[C@@H](CS)C(=O)O,-4.87113414987998,0.2790422201975477
SELENOMETHIONINE SE 75,CHEMBL1201054,C[75Se]CC[C@H](N)C(=O)O,-4.855957360668008,0.3232482339063595
IBUFENAC,CHEMBL341812,CC(C)Cc1ccc(CC(=O)O)cc1,-4.8539834401202375,0.3368252076426967
HEXAMINOLEVULINATE,CHEMBL1201784,CCCCCCOC(=O)CCC(=O)CN,-4.841009956675043,0.2380651982354714
ACETAMINOPHEN,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-4.83512396504594,0.2596681850210732
LISDEXAMFETAMINE,CHEMBL1201222,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,-4.824697380185071,0.3781108217757413
LEVOCARNITINE,CHEMBL1149,C[N+](C)(C)C[C@H](O)CC(=O)[O-],-4.820831747649084,0.2195325191126365
LEVACETYLLEUCINE,CHEMBL56021,CC(=O)N[C@@H](CC(C)C)C(=O)O,-4.815802081101279,0.2623838659404032
MELPHALAN,CHEMBL852,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,-4.815253835645033,0.4502478120100583
